DATE, PROCESS, CPU, CPU%, DISC Writes (kB_wr/s), MEM%, TOTAL MEM, FREE MEM, MEM, BUFFERS, CACHED
Fri 05 Mar 2021 06:31:44 AM -03, brave-browser-s, 2, 0.00, 0.42, 3224, 20334232, 18040076, 2294156, 118176, 1105864
Fri 05 Mar 2021 06:31:49 AM -03, brave-browser-s, 2, 0.00, 0.42, 3224, 20334232, 18016136, 2318096, 118348, 1109160
Fri 05 Mar 2021 06:31:54 AM -03, brave-browser-s, 2, 0.00, 0.41, 3224, 20334232, 18030808, 2303424, 118392, 1109360
Fri 05 Mar 2021 06:31:59 AM -03, brave-browser-s, 2, 0.00, 0.41, 3224, 20334232, 18031112, 2303120, 118456, 1108456
Fri 05 Mar 2021 06:32:04 AM -03, brave-browser-s, 2, 0.00, 0.41, 3224, 20334232, 18034316, 2299916, 118580, 1110892
Fri 05 Mar 2021 06:32:09 AM -03, brave-browser-s, 2, 0.00, 0.40, 3224, 20334232, 18021396, 2312836, 118716, 1110456
Fri 05 Mar 2021 06:32:14 AM -03, brave-browser-s, 2, 0.00, 0.40, 3224, 20334232, 18029664, 2304568, 118868, 1110620
Fri 05 Mar 2021 06:32:20 AM -03, brave-browser-s, 2, 0.00, 0.40, 3224, 20334232, 18009824, 2324408, 118908, 1121824
Fri 05 Mar 2021 06:32:25 AM -03, brave-browser-s, 2, 0.00, 0.39, 3224, 20334232, 17756148, 2578084, 121868, 1213800
Fri 05 Mar 2021 06:32:30 AM -03, brave-browser-s, 2, 0.00, 0.39, 3224, 20334232, 17755608, 2578624, 122568, 1197896
Fri 05 Mar 2021 06:32:35 AM -03, brave-browser-s, 2, 0.00, 0.39, 3224, 20334232, 17745892, 2588340, 123508, 1187408
Fri 05 Mar 2021 06:32:40 AM -03, brave-browser-s, 2, 0.00, 0.39, 3224, 20334232, 17783764, 2550468, 123572, 1164664
Fri 05 Mar 2021 06:32:45 AM -03, brave-browser-s, 2, 0.00, 0.38, 3224, 20334232, 17757124, 2577108, 123624, 1175876
